problem,Global_timeout,Mode,objective_Hamming,run_time_Hamming,best_configuration_Hamming,objective_BO,run_time_BO,best_configuration_BO,objective_Grid,run_time_Grid,best_configuration_Grid,Best_HPO_Method
bibd,120,minimize,7.0,0.010733,"{'optimize_with_core': 0, 'search_branching': 0, 'boolean_encoding_level': 1, 'linearization_level': 1, 'core_minimization_level': 2, 'cp_model_probing_level': 3, 'cp_model_presolve': 1, 'clause_cleanup_ordering': 0, 'binary_minimization_algorithm': 1, 'minimization_algorithm': 2, 'use_phase_saving': 0}",7.0,0.002705,"OrderedDict([('binary_minimization_algorithm', 1), ('boolean_encoding_level', 1), ('clause_cleanup_ordering', 0), ('core_minimization_level', 2), ('cp_model_presolve', False), ('cp_model_probing_level', 1), ('linearization_level', 0), ('minimization_algorithm', 2), ('optimize_with_core', True), ('search_branching', 1), ('use_phase_saving', True)])",,,,Bayesian
tsp,120,minimize,,,,7637.0,20.901755,"{'optimize_with_core': False, 'search_branching': 0, 'boolean_encoding_level': 1, 'linearization_level': 1, 'core_minimization_level': 2, 'cp_model_probing_level': 2, 'cp_model_presolve': True, 'clause_cleanup_ordering': 0, 'binary_minimization_algorithm': 1, 'minimization_algorithm': 2, 'use_phase_saving': True}",,,,Bayesian
lpcp21_p1_frog,60,minimize,25.0,0.041350000000000005,"{'optimize_with_core': 0, 'search_branching': 6, 'boolean_encoding_level': 1, 'linearization_level': 1, 'core_minimization_level': 0, 'cp_model_probing_level': 2, 'cp_model_presolve': 1, 'clause_cleanup_ordering': 0, 'binary_minimization_algorithm': 4, 'minimization_algorithm': 0, 'use_phase_saving': 1}",25.0,0.012,"OrderedDict([('binary_minimization_algorithm', 4), ('boolean_encoding_level', 0), ('clause_cleanup_ordering', 1), ('core_minimization_level', 1), ('cp_model_presolve', False), ('cp_model_probing_level', 0), ('linearization_level', 0), ('minimization_algorithm', 0), ('optimize_with_core', False), ('search_branching', 0), ('use_phase_saving', False)])",,,,Bayesian
